geneID,A375_8day_rep1,A375_8day_rep2,A375_8day_rep3,A375_0day_rep1,A375_0day_rep2,A375_0day_rep3,WM88_8day_rep1,WM88_8day_rep2,WM88_8day_rep3,WM88_0day_rep1,WM88_0day_rep2,WM88_0day_rep3,SKMEL5_8day_rep1,SKMEL5_8day_rep2,SKMEL5_8day_rep3,SKMEL5_0day_rep1,SKMEL5_0day_rep2,SKMEL5_0day_rep3,SKMEL28_8day_rep1,SKMEL28_8day_rep2,SKMEL28_8day_rep3,SKMEL28_0day_rep1,SKMEL28_0day_rep2,SKMEL28_0day_rep3
ACADM,2509,2025,1879,3158,1696,3180,4099,6208,2930,3162,4038,3722,3020,2818,3778,3162,4866,3887,2197,1836,1351,4917,3879,7375
ACADS,1460,1020,1096,415,294,485,742,865,1117,520,456,525,911,771,928,618,760,818,1270,1167,1362,1015,1056,829
ACADSB,1892,1448,1378,1363,722,1302,1376,2534,1377,1371,2088,2061,769,742,1001,586,934,805,1250,1147,832,1191,1653,1732
ACADVL,33196,26231,29699,32543,15534,23012,10334,13492,11375,10891,8149,8530,11423,11215,14971,9175,12565,13047,12542,11231,12386,13776,3873,12247
ACAN,9805,7355,13749,3076,1029,1159,2143,2725,120,1312,1053,1480,10322,10787,15463,303,341,566,18107,17699,18568,4220,10953,5480
ACAP1,323,265,251,193,91,146,56,64,84,27,34,25,112,87,150,38,97,72,272,295,342,79,230,88
ACAP2,2018,1854,1886,1525,1135,2285,2334,4775,2385,3678,5814,5745,3418,3576,4778,2247,4079,3490,2712,2908,2100,2849,4822,6053
ACAP3,4873,3893,4413,3463,1609,2342,2791,3804,3524,2454,2117,2031,3917,3509,4509,1777,2826,3135,10568,9644,13539,5105,4312,5583
ACAT1,5482,4018,4192,6056,3616,5574,3089,3672,2207,2190,1899,1803,4510,4110,5810,3745,4615,4338,3368,2353,2518,4595,3083,4869
ACAT2,614,410,445,1640,1125,1870,1402,1664,914,1441,1534,1387,376,356,578,682,645,747,422,296,324,1047,758,1397
ACBD3,3742,2830,2951,2750,1737,2879,2156,3757,1174,2330,2946,2799,1075,850,1278,808,1692,1655,1897,1640,1531,1730,2452,2493
ACBD3-AS1,11,18,13,3,2,8,13,15,12,10,5,1,5,5,15,0,4,4,16,12,12,1,7,17
ACBD4,1234,862,1110,632,316,527,512,664,810,371,433,318,513,436,571,362,577,567,1540,1306,1653,347,922,297
ACBD5,2120,1667,1600,2555,1555,2801,2502,4386,1737,2372,2829,2818,1449,1324,1767,1104,1932,1696,1553,1331,1097,1692,1817,2592
ACBD6,4743,3391,3668,4185,2726,4912,4509,5561,2378,3594,2801,2882,2558,2420,3179,2326,2860,2940,1694,1320,1494,1994,798,1926
ACBD7,171,84,88,357,230,483,41,36,10,69,60,66,11,13,23,65,40,28,35,25,23,441,340,704
ACBD7-DCLRE1CP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACCS,2124,1677,2105,673,447,762,1172,1588,3017,1249,1407,1155,2194,2567,2834,1174,1473,1255,1351,1332,1660,762,1520,1034
ACCSL,7,9,10,29,5,14,19,23,69,15,10,8,772,793,712,55,14,20,113,78,79,10,39,12
ACD,2628,1845,1878,4518,2733,4076,1984,2434,848,2198,1653,1510,1632,1631,1966,1773,2620,3091,1010,777,910,2154,1128,1614
ACE,38,47,27,6,12,17,0,0,0,0,0,0,2,4,0,0,12,20,1,0,1,4,0,8
ACE2,19,19,12,6,6,14,3,4,2,4,6,1,2,9,4,5,2,2,8,1,2,3,25,7
ACER1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0
ACER2,96,44,44,121,74,117,108,113,171,69,92,79,96,99,176,67,130,151,18,21,26,27,39,41
ACER3,1616,1363,1225,1223,751,1436,952,1510,1605,1016,1336,1083,983,988,1302,650,1150,1021,857,800,598,812,642,1154
ACHE,25,12,14,35,19,16,74,81,53,16,41,43,87,138,196,250,543,743,82,70,100,57,41,39
ACIN1,17067,13088,13730,16114,10129,16309,10369,13650,11015,11115,9989,9731,14678,14707,19346,9902,14769,14834,12696,11073,13214,12483,8116,13142
ACKR1,1,4,0,0,0,4,0,0,0,0,0,0,2,3,0,6,26,53,0,0,0,1,0,0
ACKR2,5,9,9,1,5,5,12,21,15,10,17,3,2,5,5,4,6,8,31,20,30,3,12,6
ACKR3,300,176,143,0,0,4,3,1,0,0,0,0,0,0,0,0,1,2,5,4,3,4,0,0
ACKR4,7,31,21,14,13,26,6,19,17,12,12,12,21,27,37,10,36,15,7,27,22,11,19,28
ACLY,22645,16534,17513,23491,15397,25082,18660,22282,8890,16953,17354,16302,12590,11979,18705,10573,14842,15459,12390,10005,11378,15237,9939,19243
ACMSD,9,13,8,6,4,19,3,8,10,5,8,8,11,13,24,15,5,6,15,16,13,4,29,9
ACO1,3463,2531,2387,2488,1437,2168,4684,5484,3089,4771,4405,4969,2112,1864,2576,2829,3830,3791,2270,1862,1858,3649,2355,4181
ACO2,5626,4161,4192,3839,2502,3587,21673,26659,37373,12407,12034,11612,11994,12141,15809,8744,12082,12221,7266,6214,6803,9475,8162,9867
ACOD1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ACOT1,376,251,304,191,98,156,2,3,5,11,21,6,368,399,456,445,568,582,203,141,113,249,103,195
ACOT11,39,37,23,11,26,25,145,212,101,207,177,171,13,13,9,0,6,8,96,84,89,359,87,422
ACOT12,65,52,74,32,12,31,485,725,389,331,516,436,47,55,71,24,26,15,73,85,67,89,85,195
ACOT13,1040,790,772,759,417,702,3053,3788,1288,2708,2242,2382,2484,2450,3268,2437,3525,3659,837,553,556,667,973,539
ACOT2,2007,1445,1519,1253,691,986,0,0,0,0,1,0,2020,1928,2486,1865,2753,2785,1140,934,1063,2054,946,1863
ACOT4,0,1,3,0,0,3,0,0,0,0,0,0,2,0,4,0,0,0,2,2,0,0,0,0
ACOT6,0,0,3,0,0,0,0,0,0,1,7,4,0,1,0,1,3,6,0,0,1,0,1,0
ACOT7,5889,4118,4396,22715,10833,14182,7151,8835,3486,12235,9711,9576,3943,3738,4774,6561,9593,10822,11167,8287,9855,30899,13189,27064
ACOT8,1944,1578,1735,1846,854,1349,1232,1486,1047,1232,927,956,1144,1021,1444,837,1092,1271,955,699,955,1011,828,667
ACOT9,4201,2903,2915,4750,3094,4953,5045,5623,2783,4435,3652,3532,2198,2045,3113,1707,2402,2415,2219,1703,1843,3208,1600,4030
ACOX1,3297,2388,2346,2014,1131,1833,2490,3112,1982,2896,2648,2623,3056,2717,4177,2061,2796,2557,1745,1524,1509,1714,2715,1980
ACOX2,119,51,43,979,442,565,41,46,78,254,196,189,8,3,7,296,382,514,0,2,0,17,4,18
ACOX3,2893,2029,1914,1811,1046,1623,1385,2080,1250,1494,1230,1200,1146,1174,1812,664,1014,1043,988,943,1012,1060,1346,967
ACOXL,64,49,44,3,2,3,11,23,23,6,6,8,16,8,14,7,7,8,70,70,95,5,5,6
